Order,Category,Subcategory,Style,Brand,Product,Rating,IB,Release,ABV,Age,Interpolated Date,Chang,Canal's Mt. Ephraim,Cask Strength Society,FWGS,Kreston,Mawl's & Seelbach's,PWS,Redstone,Roger Wilco Pennsauken,SJBD 1,SJBD 2,Somerville Super Saver,?,Distillery 1,Distillery 2,Distillery 3,Distillery 4,Distillery 5,Distillery 6,Distillery 7,Distillery 8,Distillery 9
49,Scotch,Highland,,Glen Deveron,16,,,,,16,3/15/2017,,,,,,,,,,,,,,,,,,,,,,
50,Scotch,Blended Scotch,Smoke,Johnnie Walker,Double Black Label,4.5,,,,12,3/15/2017,,,,,,,,,,,,,,,,,,,,,,
51,Scotch,Island,Medium Smoke/Sherry,Talisker,Dark Storm,5,,,,,3/23/2017,,,,,,,,,,,,,,,,,,,,,,
52,Scotch,Speyside,Sherry,Balvenie,12 Doublewood,4.5,,,,12,3/24/2017,,,,,,,,,,,,,,,,,,,,,,
53,Bourbon,,,Blanton's,Original Single Barrel,4,,,,,3/24/2017,,,,,,,,,,,,,,,,,,,,,,
54,Bourbon,,High Rye,Old Grand Dad,100 Bonded,3,,,,4,4/14/2017,,,,,,,,,,,,,,,,,,,,,,
55,Rye,,,Wild Turkey,Rye,2,,,,,4/9/2017,,,,,,,,,,,,,,,,,,,,,,
56,Bourbon,Pennsylvania,,Social Still,Vault Bourbon,,,,,,5/11/2017,,,,,,,,,,,,,,,,,,,,,,
57,Scotch,Speyside,Sherry,Glenfarclas,12,,,,,12,5/19/2017,,,,,,,,,,,,,,,,,,,,,,
58,Scotch,Islay,Malt/Light Smoke,Bruichladdich,Classic Laddie,4,,,,,5/21/2017,,,,,,,,,,,,,,,,,,,,,,
59,Scotch,Speyside,Fruit,Glenfiddich,18,4.5,,,,18,5/21/2017,,,,,,,,,,,,,,,,,,,,,,
60,Scotch,Speyside,Sherry,Aberlour,A'bunadh,4,,,,,5/23/2017,,,,,,,,,,,,,,,,,,,,,,
61,Scotch,Highland,Sherry,Glenmorangie,Lasanta,4,,,,12,5/25/2017,,,,,,,,,,,,,,,,,,,,,,
62,Scotch,Highland,Port,Glenmorangie,Quinta Ruban 12,5,,,,12,5/25/2017,,,,,,,,,,,,,,,,,,,,,,
63,Scotch,Blended Scotch,,Dimple,15,2,,,,15,5/28/2017,,,,,,,,,,,,,,,,,,,,,,
64,Scotch,Island,Medium Smoke/Brine,Talisker,10,3.5,,,,10,5/30/2017,,,,,,,,,,,,,,,,,,,,,,
65,Scotch,Speyside,Sherry,Macallan,Amber,4,,,,,6/2/2017,,,,,,,,,,,,,,,,,,,,,,
66,Scotch,Islay,Smoke/Sherry,Ardbeg,Uigeadail,4.5,,,,,6/4/2017,,,,,,,,,,,,,,,,,,,,,,
67,Scotch,Islay,Smoke,Laphroaig,Quarter Cask,5,,,,,6/4/2017,,,,,,,,,,,,,,,,,,,,,,
68,Scotch,Speyside,Sherry,Macallan,12 Fine Oak,3,,,,12,6/7/2017,,,,,,,,,,,,,,,,,,,,,,
69,Scotch,Campbeltown,Medium Smoke,Springbank,10,4.5,,,,10,6/7/2017,,,,,,,,,,,,,,,,,,,,,,
70,Scotch,Highland,Brine,Old Pulteney,12,3.5,,,,12,6/7/2017,,,,,,,,,,,,,,,,,,,,,,
71,Scotch,Campbeltown,Medium Smoke,Springbank,15,,,,,15,6/9/2017,,,,,,,,,,,,,,,,,,,,,,
72,Scotch,Islay,Smoke,Lagavulin,12,5,,2017,,12,6/9/2017,,,,,,,,,,,,,,,,,,,,,,
73,Scotch,Island,Light Smoke,Highland Park,18,5,,,,18,6/12/2017,,,,,,,,,,,,,,,,,,,,,,
74,Irish,Single Pot Still,Sherry,Redbreast,12,4.5,,,,12,6/14/2017,,,,,,,,,,,,,,,,,,,,,,
75,Bourbon,,Wheat,W.L. Weller,12,4.5,,,,12,6/14/2017,,,,,,,,,,,,,,,,,,,,,,
76,Bourbon,,,Four Roses,Small Batch,4.5,,,,,6/14/2017,,,,,,,,,,,,,,,,,,,,,,
