Order,Category,Subcategory,Style,Brand,Product,Rating,IB,Release,ABV,Age,Interpolated Date,Chang,Canal's Mt. Ephraim,Cask Strength Society,FWGS,Kreston,Mawl's & Seelbach's,PWS,Redstone,Roger Wilco Pennsauken,SJBD 1,SJBD 2,Somerville Super Saver,?,Distillery 1,Distillery 2,Distillery 3,Distillery 4,Distillery 5,Distillery 6,Distillery 7,Distillery 8,Distillery 9
203,Rye,Iowa,,Templeton,4,2.5,,,,4,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
204,Rye,Iowa,,Templeton,6,2,,,,6,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
205,Rye,Maryland,,Sagamore,,3.5,,,,,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
206,Rye,Maryland,,Sagamore,Double Oak,3.5,,,,,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
207,Rye,Maryland,,Sagamore,Cask Strength,2,,,,,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
208,Irish,Single Malt,,Sexton,,2,,,,,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
209,Canadian,,,Pendleton,,1.5,,,,,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
210,Irish,Blended,Sherry,Bushmills,Black Bush,2.5,,,,,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
211,World,French,Creative,Brenne,Estate Cask,3.5,,,,,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
212,Scotch,Speyside,,Speyburn,Companion Bourbon Cask,3,,,,,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
213,Scotch,Islay,Smoke,Lagavulin,8,4,,,,8,9/14/2018,,,,,,,,,,,,,,,,,,,,,,
214,Bourbon,,,Jefferson's,Very Small Batch,4,,,,,9/15/2018,,,,,,,,,,,,,,,,,,,,,,
215,Scotch,Highland,Malt,Dalwhinnie,15,3.5,,,,15,10/6/2018,,,,,,,,,,,,,,,,,,,,,,
216,Scotch,Islay,Smoke,Port Charlotte,Scottish Barley,4,,,,,10/6/2018,,,,,,,,,,,,,,,,,,,,,,
217,Scotch,Island,Medium Smoke,Talisker,18,4.5,,,,18,10/6/2018,,,,,,,,,,,,,,,,,,,,,,
218,Scotch,Blended Scotch,,Johnnie Walker,White Walker,2,,,,,10/6/2018,,,,,,,,,,,,,,,,,,,,,,
219,Bourbon,,,Elijah Craig,Barrel Proof,4,,?,,,10/12/2018,,,,,,,,,,,,,,,,,,,,,,
220,Irish,Blended,,Jameson,Black Barrel,3,,,,,10/12/2018,,,,,,,,,,,,,,,,,,,,,,
221,Scotch,Islay,Smoke,Ardbeg,Grooves,3.5,,,,,10/12/2018,,,,,,,,,,,,,,,,,,,,,,
222,Scotch,Speyside,Sherry,Macallan,Select Oak,3.5,,,,,10/19/2018,,,,,,,,,,,,,,,,,,,,,,
223,Scotch,Speyside,Sherry,Macallan,Whisky Maker's Edition,3.5,,,,,10/19/2018,,,,,,,,,,,,,,,,,,,,,,
224,Scotch,Speyside,Sherry,Macallan,Estate Reserve,4,,,,,10/19/2018,,,,,,,,,,,,,,,,,,,,,,
225,Rye,Tennessee,,Jack Daniel's,Single Barrel,2.5,,,,,11/7/2018,,,,,,,,,,,,,,,,,,,,,,
226,Rye,Maryland,,Pikesville,6,3.5,,,,6,11/7/2018,,,,,,,,,,,,,,,,,,,,,,
227,Rye,,,Woodford Reserve,,3,,,,,11/7/2018,,,,,,,,,,,,,,,,,,,,,,
228,Rye,Canadian,Port,Alberta,Dark Batch,4.5,,,,,11/7/2018,,,,,,,,,,,,,,,,,,,,,,
229,World,South African,,Bain's,,3,,,,,11/16/2018,,,,,,,,,,,,,,,,,,,,,,
230,Scotch,Island,Light Smoke/Sherry,Highland Park,Dark Origins,4.5,,,,,11/16/2018,,,,,,,,,,,,,,,,,,,,,,
231,Scotch,Speyside,Smoke,Glenlivet,Nadurra Peated CS,3,,,,,11/16/2018,,,,,,,,,,,,,,,,,,,,,,
232,Scotch,Speyside,Sherry,Balvenie,15 Sherry,5,,,,15,11/22/2018,,,,,,,,,,,,,,,,,,,,,,
233,Scotch,Speyside,Port,Balvenie,21 Portwood,4,,,,21,11/22/2018,,,,,,,,,,,,,,,,,,,,,,
234,Scotch,Campbeltown,Smoke/Sherry,Springbank,12 CS,4.5,,2018,,12,11/25/2018,,,,,,,,,,,,,,,,,,,,,,
235,Scotch,Speyside,Malt,Glenrothes,Bourbon Cask Reserve,3.5,,,,,12/13/2018,,,,,,,,,,,,,,,,,,,,,,
236,Scotch,Speyside,Malt,Glenrothes,Vintage Reserve,4,,,,,12/13/2018,,,,,,,,,,,,,,,,,,,,,,
237,Scotch,Speyside,Sherry,Glenrothes,Sherry Cask Reserve,3.5,,,,,12/13/2018,,,,,,,,,,,,,,,,,,,,,,
238,Scotch,Blended Malt,Wine,Compass Box,Spaniard,4.5,,,,,12/13/2018,,,,,,,,,,,,,,,,,,,,,,
239,Scotch,Blended Malt,Smoke,Compass Box,Peat Monster,2.5,,,,,12/13/2018,,,,,,,,,,,,,,,,,,,,,,
240,Bourbon,Arkansas,Smoke/Bourbon,Rock Town,Peated Malt,4.5,,,,,12/13/2018,,,,,,,,,,,,,,,,,,,,,,
241,Bourbon,,,Henry McKenna,10,2.5,,,,10,12/14/2018,,,,,,,,,,,,,,,,,,,,,,
242,Rye,Utah,,High West,Rendezvous Rye,3.5,,,,4,12/14/2018,,,,,,,,,,,,,,,,,,,,,,
243,Irish,Blended,Rum,Tullamore Dew,Caribbean Rum Cask,4,,,,,12/14/2018,,,,,,,,,,,,,,,,,,,,,,
244,Irish,Blended,,Powers,Gold Label,3,,,,,12/15/2018,,,,,,,,,,,,,,,,,,,,,,
245,Bourbon,,High Rye,Old Forester,Classic,2.5,,,,,12/15/2018,,,,,,,,,,,,,,,,,,,,,,
246,Rye,,,Sazerac,,3,,,,,12/15/2018,,,,,,,,,,,,,,,,,,,,,,
247,Bourbon,,Wheat,William Larue Weller,,4.5,,?,,,12/16/2018,,,,,,,,,,,,,,,,,,,,,,
248,Bourbon,,Wheat,Pappy Van Winkle,Family Reserve 15,5,,?,,15,12/16/2018,,,,,,,,,,,,,,,,,,,,,,
249,American SM,Texas,,Balcones,Texas Single Malt,4.5,,,,,12/16/2018,,,,,,,,,,,,,,,,,,,,,,
250,Irish,Single Malt,Smoke,Connemara,Peated CS,3.5,,,,4,12/16/2018,,,,,,,,,,,,,,,,,,,,,,
251,American SM,Washington,,Westland,American Oak,2.5,,,,,12/17/2018,,,,,,,,,,,,,,,,,,,,,,
252,Irish,Single Pot Still,Sherry,Redbreast,Lustau,3.5,,,,,12/17/2018,,,,,,,,,,,,,,,,,,,,,,
253,Scotch,Islay,Smoke/Sherry,Lagavulin,Distiller's Edition,3.5,,,,16,12/17/2018,,,,,,,,,,,,,,,,,,,,,,
254,Scotch,Islay,Smoke,Octomore,7.1,4,,,,5,12/17/2018,,,,,,,,,,,,,,,,,,,,,,
255,American,Corn,Budget,Mellow Corn,,3,,,,4,12/17/2018,,,,,,,,,,,,,,,,,,,,,,
256,World,Indian,Light Smoke,Amrut,Fusion,2.5,,,,,12/24/2018,,,,,,,,,,,,,,,,,,,,,,
257,Scotch,Island,Medium Smoke,Talisker,Select Reserve,4,,,,,12/26/2018,,,,,,,,,,,,,,,,,,,,,,
258,Scotch,Speyside,Sherry,Glenlivet,Nadurra Oloroso CS,3.5,,,,,1/2/2019,,,,,,,,,,,,,,,,,,,,,,
259,Rye,,Port,Basil Hayden's,Dark Rye,4,,,,,1/2/2019,,,,,,,,,,,,,,,,,,,,,,
260,Rye,MGP,Wine,WhistlePig,Old World 12,5,,,,12,1/2/2019,,,,,,,,,,,,,,,,,,,,,,
261,Scotch,Speyside,Sherry,Balvenie,17 Doublewood,4.5,,,,17,1/2/2019,,,,,,,,,,,,,,,,,,,,,,
262,Scotch,Highland,Wine,Glenmorangie,Nectar D'or,3.5,,,,,1/2/2019,,,,,,,,,,,,,,,,,,,,,,
263,Scotch,Highland,Sherry,Glendronach,15 Revival,4,,,,15,1/2/2019,,,,,,,,,,,,,,,,,,,,,,
264,Scotch,Highland,Sherry,Glendronach,18 Allardice,4,,,,18,1/2/2019,,,,,,,,,,,,,,,,,,,,,,
265,American,Sour Mash,,Michter's,Toasted Barrel Finish,4,,,,,1/2/2019,,,,,,,,,,,,,,,,,,,,,,
266,Bourbon,,Wheat,W.L. Weller,Antique 107,3.5,,,,,1/2/2019,,,,3,,,,,,,,,,,,,,,,,,
267,Scotch,Highland,Malt,Glenmorangie,Spios,3.5,,,,,1/2/2019,,,,,,,,,,,,,,,,,,,,,,
268,Scotch,Highland,Malt,Glenmorangie,Astar,3,,,,,1/2/2019,,,,,,,,,,,,,,,,,,,,,,
269,Scotch,Speyside,Sherry,Glenfarclas,105 CS,2.5,,,,,1/2/2019,,,,,,,,,,,,,,,,,,,,,,
270,Scotch,Highland,Smoke/Sherry,Glendronach,Peated,3.5,,,,,1/2/2019,,,,,,,,,,,,,,,,,,,,,,
271,Scotch,Blended Malt,Smoke/Sherry,Compass Box,Flaming Heart,4,,,,,1/2/2019,,,,,,,,,,,,,,,,,,,,,,
272,World,Indian,,Paul John,Classic,3.5,,,,,1/2/2019,,,,,,,,,,,,,,,,,,,,,,
273,Scotch,Blended Grain,Creative,Compass Box,Hedonism,4.5,,,,,1/2/2019,,,,,,,,,,,,,,,,,,,,,,
274,Scotch,Blended Scotch,,Chivas Regal,12,2.5,,,,12,1/2/2019,,,,,,,,,,,,,,,,,,,,,,
275,Scotch,Speyside,Sherry,Macallan,12 Sherry Oak Cask,3.5,,,,12,1/2/2019,,,,,,,,,,,,,,,,,,,,,,
276,Scotch,Highland,Sherry,Glendronach,12 Original,4,,,,12,1/2/2019,,,,,,,,,,,,,,,,,,,,,,
277,Scotch,Island,Smoke,Ledaig,10,3,,,,10,1/2/2019,,,,,,,,,,,,,,,,,,,,,,
278,American,Sour Mash,,Michter's,Sour Mash,3.5,,,,,1/2/2019,,,,,,,,,,,,,,,,,,,,,,
279,Scotch,Speyside,Malt,Longmorn,16,3,,,,16,1/2/2019,,,,,,,,,,,,,,,,,,,,,,
280,Japanese,Pure Malt,,Nikka,Taketsuru Pure Malt,3,,,,,1/2/2019,,,,,,,,,,,,,,,,,,,,,,
281,Bourbon,,,Michter's,10,5,,,,10,1/2/2019,,,,,,,,,,,,,,,,,,,,,,
282,Bourbon,,Port,Angel's Envy,CS,5,,2018,,,1/2/2019,,,,,,,,,,,,,,,,,,,,,,
283,Japanese,Single Malt,Sherry,Yamazaki,18,4,,,,18,1/2/2019,,,,,,,,,,,,,,,,,,,,,,
284,American,Corn,,Balcones,Baby Blue,3,,,,,1/2/2019,,,,,,,,,,,,,,,,,,,,,,
285,Bourbon,,,Little Book,,2.5,,1 or 2,,,1/2/2019,,,,,,,,,,,,,,,,,,,,,,
286,Scotch,Blended Scotch,Light Smoke/Sherry,Compass Box,Great King St. Glasgow Blended,4,,,,,1/2/2019,,,,,,,,,,,,,,,,,,,,,,
287,Scotch,Highland,,Loch Lomond,12,3.5,,,,12,1/17/2019,,,,,,,,,,,,,,,,,,,,,,
288,Scotch,Highland,,Loch Lomond,18,4,,,,18,1/17/2019,,,,,,,,,,,,,,,,,,,,,,
289,Scotch,Campbeltown,,Glen Scotia,Double Cask,3,,,,,1/17/2019,,,,,,,,,,,,,,,,,,,,,,
290,Scotch,Campbeltown,Light Smoke,Glen Scotia,10,4.5,,,,10,1/17/2019,,,,,,,,,,,,,,,,,,,,,,
291,Scotch,Campbeltown,Sherry,Glen Scotia,15,4.5,,,,15,1/17/2019,,,,,,,,,,,,,,,,,,,,,,
292,Scotch,Campbeltown,,Glen Scotia,Victoriana,4,,,,,1/17/2019,,,,,,,,,,,,,,,,,,,,,,
293,Scotch,Campbeltown,,Glen Scotia,18,3.5,,,,18,1/17/2019,,,,,,,,,,,,,,,,,,,,,,
294,Scotch,Highland,Madeira,Inchmurrin,Madeira,3.5,,,,,1/17/2019,,,,,,,,,,,,,,,,,,,,,,
295,Scotch,Highland,,Loch Lomond,Open,2.5,,,,,1/17/2019,,,,,,,,,,,,,,,,,,,,,,
296,Bourbon,,Budget,Jim Beam,Black Label,3.5,,,,,1/21/2019,,,,,,,,,,,,,,,,,,,,,,
297,Scotch,Speyside,Fruit,Glenlivet,18,3.5,,,,18,1/25/2019,,,,,,,,,,,,,,,,,,,,,,
298,Scotch,Islay,Smoke,Port Charlotte,10,4.5,,,,10,1/25/2019,,,,,,,,,,,,,,,,,,,,,,
299,Bourbon,,High Rye,Bulleit,Barrel Strength,4,,,,,1/25/2019,,,,,,,,,,,,,,,,,,,,,,
300,Bourbon,,,Zachariah Harris,,2,,,,,1/25/2019,,,,,,,,,,,,,,,,,,,,,,
301,Scotch,Islay,Smoke,Lagavulin,12,4.5,,2018,,12,1/25/2019,,,,,,,,,,,,,,,,,,,,,,
302,Irish,Single Pot Still,Sherry,Redbreast,12 Cask Strength,5,,,,12,1/27/2019,,,,,,,,,,,,,,,,,,,,,,
303,Bourbon,,High Rye,Bulleit,10,3,,,,10,1/27/2019,,,,,,,,,,,,,,,,,,,,,,
304,Scotch,Islay,Sherry,Bunnahabhain,18,4.5,,,,18,1/27/2019,,,,,,,,,,,,,,,,,,,,,,
305,Bourbon,Finished,Port,1792,Port Finish,3,,,,,1/28/2019,,,,,,,,,,,,,,,,,,,,,,
306,Rye,,,Michter's,Barrel Strength Rye,3,,,,,1/28/2019,,,,,,,,,,,,,,,,,,,,,,
307,Irish,Blended,,Writers' Tears,,3,,,,,1/28/2019,,,,,,,,,,,,,,,,,,,,,,
308,Bourbon,,High Rye,Old Grand Dad,114,3.5,,,,,1/28/2019,,,,,,,,,,,,,,,,,,,,,,
309,Bourbon,,High Rye,Old Forester,1920,2.5,,,,,1/28/2019,,,,,,,,,,,,,,,,,,,,,,
310,Irish,Single Pot Still,Sherry,Redbreast,15,3.5,,,,15,2/21/2019,,,,,,,,,,,,,,,,,,,,,,
311,Scotch,Islay,Smoke,Lagavulin,9,4,,,,9,2/23/2019,,,,,,,,,,,,,,,,,,,,,,
312,Scotch,Island,Light Smoke,Jura,Superstition,3.5,,,,,2/23/2019,,,,,,,,,,,,,,,,,,,,,,
313,Scotch,Island,Light Smoke,Jura,10,2,,,,10,2/23/2019,,,,,,,,,,,,,,,,,,,,,,
314,World,Taiwanese,Port,Kavalan,Concertmaster,2.5,,,,,2/23/2019,,,,,,,,,,,,,,,,,,,,,,
315,Scotch,Islay,Smoke/Sherry,Bowmore,18,4,,,,18,2/23/2019,,,,,,,,,,,,,,,,,,,,,,
316,Irish,Blended,Creative,Jameson,Caskmates IPA,4,,,,,2/23/2019,,,,,,,,,,,,,,,,,,,,,,
317,American SM,Colorado,,Stranahan's,Colorado Whiskey,3,,,,,2/27/2019,,,,3.5,,,,,,,,,,,,,,,,,,
318,American SM,Colorado,,Stranahan's,Diamond Peak,3,,,,,2/27/2019,,,,,,,,,,,,,,,,,,,,,,
319,American SM,Colorado,Sherry,Stranahan's,Sherry Cask,3.5,,,,,2/27/2019,,,,,,,,,,,,,,,,,,,,,,
320,Scotch,Speyside,Sherry,Macallan,12 Double Cask,4.5,,,,12,2/28/2019,,,,,,,,,,,,,,,,,,,,,,
321,Scotch,Blended Malt,Sherry,Naked Grouse,,5,,,,,2/28/2019,,,,,,,,,,,,,,,,,,,,,,
322,Bourbon,Pennsylvania,Wine,Eight Oaks,Pinot Bourbon,2.5,,,,,3/3/2019,,,,,,,,,,,,,,,,,,,,,,
323,Bourbon,Pennsylvania,,Boardroom,Bourbon,3,,,,,3/3/2019,,,,,,,,,,,,,,,,,,,,,,
324,Rye,Pennsylvania,,Boardroom,Rye,3,,,,,3/3/2019,,,,,,,,,,,,,,,,,,,,,,
325,Bourbon,Pennsylvania,,Kinsey,4,3,,,,4,3/3/2019,,,,,,,,,,,,,,,,,,,,,,
326,Rye,Pennsylvania,,Kinsey,4,3.5,,,,4,3/3/2019,,,,,,,,,,,,,,,,,,,,,,
327,American,Pennsylvania,Creative,Kinsey,Maple Cask,3.5,,,,,3/3/2019,,,,,,,,,,,,,,,,,,,,,,
328,American,Pennsylvania,Wine,Kinsey,Cabernet,4,,,,,3/3/2019,,,,,,,,,,,,,,,,,,,,,,
329,American SM,Pennsylvania,,New Liberty,Dutch Malt,3.5,,,,,3/3/2019,,,,,,,,,,,,,,,,,,,,,,
330,American,Pennsylvania,,New Liberty,Bloody Butcher 9 Month,3.5,,,,0.75,3/3/2019,,,,,,,,,,,,,,,,,,,,,,
331,Rye,Pennsylvania,Sherry,New Liberty,Fortunato's Fate,4,,,,,3/3/2019,,,,,,,,,,,,,,,,,,,,,,
332,Canadian,,,Canadian Club,,1,,,,,3/9/2019,,,,,,,,,,,,,,,,,,,,,,
333,Canadian,,,Forty Creek,Barrel Select,1,,,,,3/9/2019,,,,,,,,,,,,,,,,,,,,,,
334,Rye,,,Michter's,Rye,3.5,,,,,3/9/2019,,,,,,,,,,,,,,,,,,,,,,
335,Rye,Virginia,,Catoctin Creek,Roundstone Rye,1.5,,,,,3/9/2019,,,,,,,,,,,,,,,,,,,,,,
336,Rye,Virginia,,Catoctin Creek,Roundstone Rye Distiller's Edition,1.5,,,,,3/9/2019,,,,,,,,,,,,,,,,,,,,,,
337,Rye,Virginia,,Catoctin Creek,Roundstone Rye Cask Proof,2,,,,,3/9/2019,,,,,,,,,,,,,,,,,,,,,,
338,American,Sorghum,Creative,James F.C. Hyde,Sorghum Whiskey,2.5,,,,,3/9/2019,,,,,,,,,,,,,,,,,,,,,,
339,Flavored,Canadian,Creative,Root Out,,4,,,,,3/9/2019,,,,,,,,,,,,,,,,,,,,,,
340,Bourbon,New York,,Taconic,Dutchess Private Reserve,1.5,,,,,3/9/2019,,,,,,,,,,,,,,,,,,,,,,
341,Bourbon,New York,Creative,Taconic,Double Barrel Maple,2,,,,,3/9/2019,,,,,,,,,,,,,,,,,,,,,,
342,Scotch,Islay,Malt/Light Smoke,Bruichladdich,Islay Barley,4,,2010,,6,3/9/2019,,,,,,,,,,,,,,,,,,,,,,
343,Scotch,Islay,Malt/Light Smoke,Bruichladdich,Black Art 1990,4.5,,6.1,,26,3/9/2019,,,,,,,,,,,,,,,,,,,,,,
344,American SM,Washington,Sherry,Westland,Sherry Wood,3,,,,,3/9/2019,,,,,,,,,,,,,,,,,,,,,,
345,American SM,Washington,Smoke,Westland,Peated,3.5,,,,,3/9/2019,,,,,,,,,,,,,,,,,,,,,,
346,American SM,Virginia,,Copper Fox,Single Malt,2,,,,,3/9/2019,,,,,,,,,,,,,,,,,,,,,,
347,Rye,Virginia,,Copper Fox,Rye,2,,,,,3/9/2019,,,,,,,,,,,,,,,,,,,,,,
348,Bourbon,,High Rye,Old Forester,Bottled in Bond,3,,,,4,3/9/2019,,,,,,,,,,,,,,,,,,,,,,
349,Scotch,Highland,,Glenglassaugh,Revival,4,,,,,3/9/2019,,,,,,,,,,,,,,,,,,,,,,
350,Scotch,Highland,,Glenglassaugh,Evolution,2.5,,,,,3/9/2019,,,,,,,,,,,,,,,,,,,,,,
351,Scotch,Highland,,Glenglassaugh,Peated,4,,,,,3/9/2019,,,,,,,,,,,,,,,,,,,,,,
352,Bourbon,,High Rye,Old Forester,1870 Original Batch,3,,,,,3/9/2019,,,,,,,,,,,,,,,,,,,,,,
353,Bourbon,,High Rye,Old Forester,1910 Old Fine Whisky,3.5,,,,,3/9/2019,,,,,,,,,,,,,,,,,,,,,,
354,Bourbon,,High Rye,Old Forester,1920 Prohibition Style,2.5,,,,,3/9/2019,,,,,,,,,,,,,,,,,,,,,,
355,Bourbon,,High Rye,Old Forester,Signature 100 Proof,2.5,,,,,3/9/2019,,,,,,,,,,,,,,,,,,,,,,
356,American,New York,,Tommy Rotter,Triple Barrel American,2.5,,,,,3/9/2019,,,,,,,,,,,,,,,,,,,,,,
357,Scotch,Speyside,Sherry,Glen Moray,Classic Sherry Cask Finish,3,,,,,3/9/2019,,,,,,,,,,,,,,,,,,,,,,
358,Scotch,Speyside,Port,Glen Moray,Classic Port Cask Finish,3.5,,,,,3/9/2019,,,,,,,,,,,,,,,,,,,,,,
359,Scotch,Speyside,Wine,Glen Moray,Classic Chardonnay Cask Finish,3,,,,,3/9/2019,,,,,,,,,,,,,,,,,,,,,,
360,Bourbon,New Jersey,Creative,Asbury Park Distilling Co.,Double Barrel Bourbon,3.5,,,,,3/16/2019,,,,,,,,,,,,,,,,,,,,,,
361,Irish,Blended,,Tullamore Dew,12,3.5,,,,12,3/20/2019,,,,,,,,,,,,,,,,,,,,,,
362,Irish,Blended,Rum,Teeling,Small Batch Rum Cask Finish,3.5,,,,,3/20/2019,,,,,,,,,,,,,,,,,,,,,,
363,Irish,Single Grain,,Teeling,Single Grain,3,,,,,3/20/2019,,,,,,,,,,,,,,,,,,,,,,
364,Irish,Single Malt,,Teeling,Single Malt,2.5,,,,,3/20/2019,,,,,,,,,,,,,,,,,,,,,,
365,Irish,Single Malt,,Bushmills,10 Single Malt,2.5,,,,10,3/20/2019,,,,,,,,,,,,,,,,,,,,,,
366,Irish,Single Malt,,Bushmills,16 Single Malt,3,,,,16,3/20/2019,,,,,,,,,,,,,,,,,,,,,,
367,Irish,Single Grain,Creative,Kilbeggan,Rye,4,,,,,3/20/2019,,,,,,,,,,,,,,,,,,,,,,
368,Irish,Single Grain,,Kilbeggan,Single Grain,3.5,,,,,3/20/2019,,,,,,,,,,,,,,,,,,,,,,
369,Irish,Single Malt,,Tyrconnell,Single Malt,3,,,,,3/20/2019,,,,,,,,,,,,,,,,,,,,,,
370,Irish,Single Malt,Port,Tyrconnell,Port Cask Finish,3.5,,,,,3/20/2019,,,,,,,,,,,,,,,,,,,,,,
371,Irish,Single Malt,Madeira,Tyrconnell,15 Madeira Cask Finish,3,,,,15,3/20/2019,,,,,,,,,,,,,,,,,,,,,,
372,Irish,Single Malt,Smoke,Connemara,12,3.5,,,,12,3/20/2019,,,,,,,,,,,,,,,,,,,,,,
373,Irish,Single Pot Still,Sherry,Powers,Three Swallow,4,,,,,3/20/2019,,,,,,,,,,,,,,,,,,,,,,
374,Irish,Single Pot Still,Sherry,Powers,John's Lane,3.5,,,,12,3/20/2019,,,,,,,,,,,,,,,,,,,,,,
375,American,Pennsylvania,,Manatawny Still Works,Keystone Whiskey,3,,,,,3/27/2019,,,,,,,,,,,,,,,,,,,,,,
376,American,Pennsylvania,,Manatawny Still Works,Pennsylvania Whiskey,3.5,,,,,3/27/2019,,,,,,,,,,,,,,,,,,,,,,
377,American,Pennsylvania,,Manatawny Still Works,Cask Strength,4,,,,,3/27/2019,,,,,,,,,,,,,,,,,,,,,,
378,American SM,Pennsylvania,Smoke,Manatawny Still Works,Peated,3.5,,,,,3/27/2019,,,,,,,,,,,,,,,,,,,,,,
379,American,Pennsylvania,Creative,Manatawny Still Works,Coffee,3.5,,,,,3/27/2019,,,,,,,,,,,,,,,,,,,,,,
380,Bourbon,,,Heaven Hill,Bottled in Bond,4,,,,,3/27/2019,,,,,,,,,,,,,,,,,,,,,,
381,Scotch,Speyside,,Ben Nevis,8,4,Single Cask Nation,,,8,3/27/2019,,,,,,,,,,,,,,,,,,,,,,
382,Scotch,Highland,Light Smoke,Oban,Little Bay,3,,,,,3/27/2019,,,,,,,,,,,,,,,,,,,,,,
383,Bourbon,Texas,,Balcones,Texas Blue Corn,3.5,,,,,3/27/2019,,,,,,,,,,,,,,,,,,,,,,
384,Scotch,Blended Scotch,,Dewar's,21,3,,,,21,3/27/2019,,,,,,,,,,,,,,,,,,,,,,
385,Bourbon,Pennsylvania,Smoke,Liberty Pole,Peated,3.5,,,,,3/27/2019,,,,,,,,,,,,,,,,,,,,,,
386,Scotch,Speyside,Sherry,Kirkland,18 Speyside Sherry Cask Finish,3,,,,18,3/27/2019,,,,,,,,,,,,,,,,,,,,,,
387,Bourbon,New York,,Catskill,The Most Righteous,2.5,,,,,3/27/2019,,,,,,,,,,,,,,,,,,,,,,
388,Bourbon,West Virginia,,Smooth Ambler,Big Level,3.5,,,,,3/27/2019,,,,,,,,,,,,,,,,,,,,,,
389,Bourbon,,,Basil Hayden's,10,2.5,,,,10,3/27/2019,,,,,,,,,,,,,,,,,,,,,,
390,American,Pennsylvania,Four Grain,Bluebird,Four Grain,3,,,,,3/27/2019,,,,,,,,,,,,,,,,,,,,,,
391,Scotch,Speyside,,Mortlach,26 CS,4.5,Gordon & Macphail,1987,,26,3/27/2019,,,,,,,,,,,,,,,,,,,,,,
392,American SM,Massachusetts,,Dirty Water,The Bachelor,3.5,,,,,3/27/2019,,,,,,,,,,,,,,,,,,,,,,
393,Bourbon,Finished,Sherry,Legent,,2.5,,,,,3/27/2019,,,,,,,,,,,,,,,,,,,,,,
394,Scotch,Highland,Medium Smoke,Ardmore,15,4.5,Gordon & Macphail,,,15,3/27/2019,,,,,,,,,,,,,,,,,,,,,,
395,Bourbon,"Washington, DC",,One Eight,Untitled Whiskey No. 11,2.5,,,,,3/27/2019,,,,,,,,,,,,,,,,,,,,,,
396,Bourbon,,,George T. Stagg,,5,,?,,15,3/27/2019,,,,,,,,,,,,,,,,,,,,,,
397,Scotch,Islay,Smoke,Bowmore,10,3,,,,10,3/27/2019,,,,,,,,,,,,,,,,,,,,,,
398,Scotch,Speyside,Smoke,Balvenie,Peat Week,4,,,,,3/30/2019,,,,,,,,,,,,,,,,,,,,,,
399,Irish,Blended,Creative,Tullamore Dew,Cider Cask,3.5,,,,,3/30/2019,,,,,,,,,,,,,,,,,,,,,,
400,Scotch,Islay,Smoke,Port Charlotte,PC10 Tro Na Linntean,4,,,,10,3/30/2019,,,,,,,,,,,,,,,,,,,,,,
401,Scotch,Islay,Smoke/Sherry,Bunnahabhain,Ceobanach,4,,,,10,3/30/2019,,,,,,,,,,,,,,,,,,,,,,
402,Scotch,Highland,,Tomatin,Dualchas,2.5,,,,,4/19/2019,,,,,,,,,,,,,,,,,,,,,,
403,American,Wheat,Wheat,Bernheim,Original,4,,,,7,4/19/2019,,,,,,,,,,,,,,,,,,,,,,
404,Scotch,Island,Medium Smoke/Sherry,Talisker,Distiller's Edition,4.5,,,,10,4/19/2019,,,,,,,,,,,,,,,,,,,,,,
405,Scotch,Blended Scotch,Light Smoke,Johnnie Walker,Blue Label,3.5,,,,,4/19/2019,,,,,,,,,,,,,,,,,,,,,,
406,Bourbon,,Budget,Evan Williams,Bottled in Bond,3.5,,,,4,5/2/2019,,,,,,,,,,,,,,,,,,,,,,
407,Scotch,Highland,Wine,Dalmore,King Alexander III,4.5,,,,,5/25/2019,,,,,,,,,,,,,,,,,,,,,,
408,Scotch,Blended Scotch,Sherry,Compass Box,Delilah's XXV,4.5,,,,,5/25/2019,,,,,,,,,,,,,,,,,,,,,,
409,Scotch,Highland,Fruit,Dalwhinnie,Distiller's Edition,3,,,,,5/25/2019,,,,,,,,,,,,,,,,,,,,,,
410,Scotch,Highland,Brine,Clynelish,14,3,,,,14,5/25/2019,,,,,,,,,,,,,,,,,,,,,,
411,Scotch,Islay,Smoke/Sherry,Kilchoman,Loch Gorm,4,,2018,,5,5/25/2019,,,,,,,,,,,,,,,,,,,,,,
412,Bourbon,,Wheat,Van Winkle,Special Reserve 12,4,,?,,12,5/28/2019,,,,,,,,,,,,,,,,,,,,,,
413,American,Blended,,TX,Blended Whiskey,2.5,,,,,5/28/2019,,,,,,,,,,,,,,,,,,,,,,
414,American,Bourbon/Rye,Bourye,Wild Turkey,Forgiven,3,,,,,5/28/2019,,,,,,,,,,,,,,,,,,,,,,
415,Scotch,Islay,Smoke,Port Charlotte,Islay Barley,4,,2011,,6,5/28/2019,,,,,,,,,,,,,,,,,,,,,,
